Item,Price used product [kr],Price new product [kr],Source (price new product),Carbon footprint [kg CO₂eq]/[kr],Sector,Carbon footprint new product [kg CO₂eq],Carbon footprint category [kg CO₂eq],Category
Longines Vintage automatik klocka,8350.0,21741.956521739132,"(Google Shopping, 2020)",0.01695151195620853,"Medical, precision and optical instruments, watches and clocks (33)",368.55903592962693,1629768.0568808103,Accessoarer & klockor
Trille Viper 4S (duo/kombi) barnvagn,1149.0,4699.0,"(Google Shopping, 2020)",0.02046270627718421,Other transport equipment (35),96.15425679648861,1531256.539484081,Barnartiklar & leksaker
Paketpris Vinteroveraller st 98,280.0,778.1462962962962,"(Google Shopping, 2020)",0.020155000411969437,Wearing apparel; furs (18),15.683538922424342,141653.72354733665,Barnkläder & skor
Renault Trafic 2.0DCi 115hk NordicLine -14,81250.0,209500.0,"(Renault Sverige, 2020)",0.026778931731741836,"Motor vehicles, trailers and semi-trailers (34)",5610.186197799914,136041405.11045012,Bilar
Dubbfria vinterdäck på Skoda aluminiumfäljar,3850.0,13836.0,"(SkodaTillbehör, 2019)",0.02046270627718421,Other transport equipment (35),283.1220040511207,7499618.765310137,Bildelar & biltillbehör
Gasolgrill Landman,3699.0,6601.347142857144,"(Google Shopping, 2020)",0.019596378771349305,Electrical machinery and apparatus n.e.c. (31),129.36249901259313,2084159.221591888,Bygg & trädgård
Yttern T55 Exclusive,144000.0,419900.0,"(Sweboat – Båtbranschens Riksförbund, 2020)",0.026778931731741836,"Motor vehicles, trailers and semi-trailers (34)",11244.473434158397,44977893.73663359,Båtar
Kraftig boggievagn till segelbåt,9900.0,31055.75,"(Google Shopping, 2020)",0.02046270627718421,Other transport equipment (35),635.4846904676635,1611589.1750259947,Båtdelar & tillbehör
Fundamentals of the Physical Environment(4th),600.0,864.2940000000001,"(Google Shopping, 2020)",0.010882227946536161,Printed matter and recorded media (22),9.405444320823527,30736.992040451285,Böcker & studentlitteratur
Herr/Dam Grön Postkodcykel (NY),4000.0,4995.0,"(Google Shopping, 2020)",0.02046270627718421,Other transport equipment (35),102.21121785453514,579742.0276709233,Cyklar
Säljer min gaming dator,3550.0,19661.263157894737,"(Google Shopping, 2020)",0.016637092905157875,Office machinery and computers (30),327.1062617906524,2088900.5877951062,Datorer & TV-spel
"Vinkylare,Svenskt Tenn",4600.0,14098.75,"(Google Shopping, 2020)",0.027046864619020998,Furniture; other manufactured goods n.e.c. (36),381.3269825474223,1270200.1788654637,Hobby & samlarprylar
60cm Bredd Samsung Tvättmaskin 7 KG,1599.0,4861.4375,"(Google Shopping, 2020)",0.019596378771349305,Electrical machinery and apparatus n.e.c. (31),95.26657062324144,654290.8070404222,Husgeråd & vitvaror
Fiat Ducato Nordic 595 -98,155500.0,355700.0,"(Fiat Professional, 2020)",0.026778931731741836,"Motor vehicles, trailers and semi-trailers (34)",9525.266016980571,26461188.995172027,Husvagnar & husbilar
Hästvagn,8000.0,16500.0,"(Carriage Driving Nordic AB, 2018)",0.02046270627718421,Other transport equipment (35),337.6346535735395,852189.8656196137,Hästar & ridsport
Skurmaskin,12500.0,79152.125,"(Google Shopping, 2020)",0.019596378771349305,Electrical machinery and apparatus n.e.c. (31),1551.0950220571865,4575730.3150687,Inventarier & maskiner
Kulvapen och vapenskåp,6000.0,7085.0,"(Google Shopping, 2020)",0.027046864619020998,Furniture; other manufactured goods n.e.c. (36),191.62703582576378,354510.016277663,Jakt & fiske
Prada,1480.0,11500.218846153844,"(Google Shopping, 2020)",0.018682678303160317,Leather and leather products (19),214.85488911863382,3670580.92570274,Kläder & skor
Volvo NB88 -66,57500.0,1868750.0,"(Bilweb, 2020)",0.026778931731741836,"Motor vehicles, trailers and semi-trailers (34)",50043.128673692554,79118186.43310793,"Lastbil, truck & entreprenad"
Sony A6000 + tillbehör,4100.0,9437.333333333334,"(Google Shopping, 2020)",0.023745243881089433,"Radio, television and communication equipment and apparatus (32)",224.0917815871347,1728419.91138157,Ljud & bild
Rukka Fuel touringbyxa. Strl. 54 extra lång,2600.0,5844.3411428571435,"(Google Shopping, 2020)",0.020155000411969437,Wearing apparel; furs (18),117.79269814197566,238176.8356430748,MC-delar & tillbehör
Viarelli Motard -17,19800.0,27990.0,"(Motorsweden, 2020)",0.026778931731741836,"Motor vehicles, trailers and semi-trailers (34)",749.542299171454,2209650.6979574463,Mopeder & A-traktor
Tc 250 -16,43500.0,85900.0,"(Husqvarna Motorcycles, 2020)",0.026778931731741836,"Motor vehicles, trailers and semi-trailers (34)",2300.3102357566236,10963278.583616069,Motorcyklar
Hughes & kettner qx4,7000.0,14809.0,"(Google Shopping, 2020)",0.019596378771349305,Electrical machinery and apparatus n.e.c. (31),290.2027732249119,1330869.9180094458,Musikutrustning
"Soffa, soffbord med tre stolar",1800.0,11942.838235294117,"(Google Shopping, 2020)",0.027046864619020998,Furniture; other manufactured goods n.e.c. (36),323.0163289168676,18714920.064785477,Möbler & heminredning
Småbalsinplastare,22000.0,12236.7104,"(Gooler International Group Co. Ltd., 2020)",0.022366954722920458,Machinery and equipment n.e.c. (29),273.6979474742899,572302.4081687401,Skogs- & lantbruksmaskiner
Säte till en Lynx Ranger Pro,3400.0,6645.0,"(Google Shopping, 2020)",0.02046270627718421,Other transport equipment (35),135.97468321188907,53166.10113584863,Snöskoterdelar & tillbehör
LYNX Boondocker 3900 800,55000.0,145900.0,"(Stenmarks Maskin, 2020)",0.026778931731741836,"Motor vehicles, trailers and semi-trailers (34)",3907.046139661134,6708398.221798168,Snöskotrar
Gamo replay 10,2300.0,3199.0,"(Olssons Fiske, 2020)",0.027046864619020998,Furniture; other manufactured goods n.e.c. (36),86.52291991624817,777321.9125275735,Sport- & fritidsutrustning
Iphone 8 plus 64 GB guld,3500.0,6251.048333333332,"(Google Shopping, 2020)",0.023745243881089433,"Radio, television and communication equipment and apparatus (32)",148.43266718747762,477656.32300930296,Telefoner & tillbehör
Handmaskiner,3950.0,10175.875,"(Google Shopping, 2020)",0.019596378771349305,Electrical machinery and apparatus n.e.c. (31),199.41030082990412,587662.1565457274,Verktyg
"Rullstolsramp, ramp, aluminium ramp, lastramp",4499.0,9579.333333333334,"(Google Shopping, 2020)",0.023327822063580368,"Fabricated metal products, except machinery and equipment (28)",223.46498348772423,179889.311707618,Övrigt
