Item,Price used product [kr],Price new product [kr],Source (price new product),Category
Longines Vintage automatik klocka,8350.0,21741.956521739132,"(Google Shopping, 2020)",Accessoarer & klockor
Trille Viper 4S (duo/kombi) barnvagn,1149.0,4699.0,"(Google Shopping, 2020)",Barnartiklar & leksaker
Paketpris Vinteroveraller st 98,280.0,778.1462962962963,"(Google Shopping, 2020)",Barnkläder & skor
Renault Trafic 2.0DCi 115hk NordicLine -14,81250.0,0.0,,Bilar
Dubbfria vinterdäck på Skoda aluminiumfäljar,3850.0,3957.0,"(Google Shopping, 2020)",Bildelar & biltillbehör
Gasolgrill Landman,3699.0,6601.347142857143,"(Google Shopping, 2020)",Bygg & trädgård
Yttern T55 Exclusive,144000.0,0.0,,Båtar
Kraftig boggievagn till segelbåt,9900.0,31055.75,"(Google Shopping, 2020)",Båtdelar & tillbehör
Fundamentals of the Physical Environment(4th),600.0,864.2940000000001,"(Google Shopping, 2020)",Böcker & studentlitteratur
Herr/Dam Grön Postkodcykel (NY),4000.0,4995.0,"(Google Shopping, 2020)",Cyklar
Säljer min gaming dator,3550.0,19661.263157894737,"(Google Shopping, 2020)",Datorer & TV-spel
"Vinkylare,Svenskt Tenn",4600.0,14098.75,"(Google Shopping, 2020)",Hobby & samlarprylar
60cm Bredd Samsung Tvättmaskin 7 KG,1599.0,4861.4375,"(Google Shopping, 2020)",Husgeråd & vitvaror
Fiat Ducato Nordic 595 -98,155500.0,0.0,,Husvagnar & husbilar
Hästvagn,8000.0,0.0,,Hästar & ridsport
Skurmaskin,12500.0,79152.125,"(Google Shopping, 2020)",Inventarier & maskiner
Kulvapen och vapenskåp,6000.0,7085.0,"(Google Shopping, 2020)",Jakt & fiske
Prada,1480.0,11500.218846153846,"(Google Shopping, 2020)",Kläder & skor
Volvo NB88 -66,57500.0,0.0,,"Lastbil, truck & entreprenad"
Sony A6000 + tillbehör,4100.0,9437.333333333334,"(Google Shopping, 2020)",Ljud & bild
Rukka Fuel touringbyxa. Strl. 54 extra lång,2600.0,5844.341142857142,"(Google Shopping, 2020)",MC-delar & tillbehör
Viarelli Motard -17,19800.0,0.0,,Mopeder & A-traktor
Tc 250 -16,43500.0,0.0,,Motorcyklar
Hughes & kettner qx4,7000.0,14809.0,"(Google Shopping, 2020)",Musikutrustning
"Soffa, soffbord med tre stolar",1800.0,11942.838235294117,"(Google Shopping, 2020)",Möbler & heminredning
Småbalsinplastare,22000.0,0.0,,Skogs- & lantbruksmaskiner
Säte till en Lynx Ranger Pro,3400.0,6645.0,"(Google Shopping, 2020)",Snöskoterdelar & tillbehör
LYNX Boondocker 3900 800,55000.0,0.0,,Snöskotrar
Gamo replay 10,2300.0,0.0,,Sport- & fritidsutrustning
Iphone 8 plus 64 GB guld,3500.0,6251.048333333333,"(Google Shopping, 2020)",Telefoner & tillbehör
Handmaskiner,3950.0,10175.875,"(Google Shopping, 2020)",Verktyg
"Rullstolsramp, ramp, aluminium ramp, lastramp",4499.0,9579.333333333334,"(Google Shopping, 2020)",Övrigt
